,SatelliteCatalogNumber,ElsetClassification,InternationalDesignator,ElementSetEpoch(UTC),1stDerivativeMeanMotion,2ndDerivativeMeanMotion,b*DragTerm,ElementSetType,ElementNumber,Checksum,OrbitInclination,RightAscension,Eccentricity,ArgumentofPerigee,MeanAnomaly,MeanMotion,RevolutionNumberatEpoch,Checksum(2),OrbitalPeriod,SemiMajorAxis
2132,10288, U, 77079D,20122.11045418,-2e-07, +00000-0, -34828-4,0,999,3,74.0272,355.1348,45063,225.2051,246.7447,12.4222092,91840,7,6955.2845720872265,7874.754044205671
2133,10289, U, 77079E,20122.06254122,-1.3e-07, +00000-0, +22385-4,0,999,8,74.0252,337.0278,7609,339.1494,133.1898,12.52056582,92565,3,6900.6466035254625,7833.4592214029
2134,10290, U, 77079F,20122.21879074,-2.3e-07, +00000-0, -47696-4,0,999,0,74.025,69.4598,6177,287.3381,180.952,12.49666566,92390,5,6913.844248594549,7843.443820874981
2135,10291, U, 77079G,20122.21818562,-2.1e-07, +00000-0, -36394-4,0,999,7,74.0229,163.7228,18112,1.7778,63.6443,12.47210163,92208,5,6927.461190035221,7853.738979725764
2136,10292, U, 77079H,20122.48791609,-1e-07, 00000-0, 41676-4,0,999,5,74.0244,252.699,30365,118.659,305.6479,12.44881927,94004,4,6940.417249707571,7863.5282148736605
2137,10293, U, 77079J,20121.94857266,-5.9e-07, +00000-0, -38424-3,0,999,8,74.0234,276.4023,135558,232.1087,293.9998,12.2520302,68631,1,7051.892510026624,7947.505765232408
2138,10294, U, 77080A,20122.0495025,-1.06e-06, 00000-0, 00000+0,0,999,7,12.0101,320.477,9473,86.6337,265.4919,1.00270741,9547,5,86166.71138393204,42161.89035005906
2139,10295, U, 77080B,20122.1664858,9.9e-07, +00000-0, +63741-4,0,999,7,27.0925,105.835,766928,50.8899,315.7315,12.47985518,92439,5,6923.157260547635,7850.485701318779
2140,10305, U, 77065DB,20121.73527162,4.187e-05, +00000-0, +83818-3,0,999,4,29.0525,286.2188,205826,194.6143,164.8421,14.47144144,9905,3,5970.379685964441,7112.5996329743575
2141,10306, U, 77065DC,20122.50249401,2.6e-06, 00000-0, 43080-4,0,999,4,29.1034,228.2499,702871,131.8412,234.4352,13.5586837,8622,9,6372.299989563146,7428.330265790016
2142,10314, U, 77065DL,20122.49104743,4.5e-06, 00000-0, 13349-3,0,999,5,28.7815,243.9494,692018,162.3109,280.1122,13.44440823,5759,0,6426.463591547756,7470.363993877137
2143,10338, U, 77065DM,20122.13965533,3.04e-06, +00000-0, +37310-4,0,999,7,29.0668,46.7392,670498,308.3634,45.8504,13.71105343,10533,6,6301.485180632106,7373.194241528232
2144,10346, U, 77065DV,20122.08310891,8e-07, +00000-0, -40900-5,0,999,3,29.2274,3.5272,724964,293.5725,59.0341,13.30014409,3804,8,6496.170223070117,7524.286552156643
2145,10352, U, 77087A,20122.29132793,1.9e-07, 00000-0, 40740-5,0,999,3,82.9732,21.6108,35036,129.8017,6.3866,13.74118155,13740,7,6287.668908646361,7362.412939853286
2146,10355, U, 77087B,20122.20593368,-6e-08, +00000-0, -22294-4,0,999,7,82.9718,353.099,33627,1.4527,115.98,13.75814585,13972,3,6279.915981556483,7356.359611417123
2147,10358, U, 77088A,20122.21705074,-9.2e-07, +00000-0, -24241-5,0,999,1,64.9353,181.2017,46362,353.7711,6.2766,13.83602002,15354,7,6244.570322615073,7328.730802259963
2148,10365, U, 77092A,20122.04889184,-7e-07, +00000-0, +00000-0,0,999,7,9.7352,303.8699,30004,318.4012,47.1661,1.00217041,11241,7,86212.88269726503,42176.95027293464
2149,10392, U, 74089EH,20122.18567399,-5e-07, 00000-0, -34031-4,0,999,0,101.5213,195.825,50374,27.9705,357.7301,12.60080517,9303,0,6856.7046973872075,7800.16925069191
2150,10393, U, 74089EJ,20122.73298178,-1.03e-06, 00000-0, -55938-3,0,999,5,101.6087,199.7609,158222,91.0689,58.3137,12.23977419,3650,1,7058.953756727761,7952.810245538415
2151,10395, U, 73086GK,20121.83670895,6.402e-05, 00000-0, 11935-1,0,999,6,102.5993,75.3489,624710,177.4316,183.0232,12.8216634,9201,8,6738.59524342216,7710.336100968907
2152,10410, U, 76067D,20122.20097972,-4.1e-07, +00000-0, +48219-4,0,999,9,66.0908,193.8996,692117,235.4472,149.689,12.32955583,97227,2,7007.551706751143,7914.155935006335
2153,10411, U, 76067E,20122.09937292,1.8e-07, +00000-0, +29757-3,0,999,3,66.024,0.0503,653885,94.8454,53.8185,12.29091083,96602,2,7029.584804171913,7930.736344846739
2154,10412, U, 76067F,20122.18210314,-3.9e-07, +00000-0, +60405-4,0,999,3,65.6838,22.1406,680803,131.0976,20.6213,12.33789139,97367,5,7002.817359052793,7910.590963220702
2155,10413, U, 76067G,20122.50498257,-1.83e-06, 00000-0, -52813-3,0,999,8,65.8772,237.0426,671969,84.1357,351.5259,12.29382233,96442,6,7027.92001387253,7929.4841576509325
2156,10414, U, 76067H,20122.3473765,-1.69e-06, 00000-0, -61466-3,0,999,2,65.8783,87.29,630313,192.9982,323.9679,12.18387891,94999,8,7091.337712580729,7977.1147856216085
2157,10415, U, 76067J,20122.06242299,-6e-07, 00000-0, -29379-4,0,999,0,65.8386,336.956,690262,272.9117,251.5538,12.18789618,95056,0,7089.000326551846,7975.361790455123
2158,10416, U, 76067K,20122.21200956,-9.7e-07, +00000-0, -21039-3,0,999,6,65.7143,134.98,653514,183.9999,266.8276,12.20364078,95276,6,7079.8544104638895,7968.5006741933075
2159,10417, U, 76067L,20121.38936368,1.76e-06, 00000-0, 59972-3,0,999,0,65.5828,252.822,741398,235.5148,152.3646,12.46777204,25089,1,6929.866837700058,7855.557080662163
2160,10436, U, 76067M,20121.86484774,-8.7e-07, +00000-0, -10691-3,0,999,1,66.0242,283.0234,693735,339.2373,170.1423,12.37697098,97741,9,6980.706356960369,7893.930690733458
2161,10437, U, 76067N,20122.26428241,7e-08, +00000-0, +24536-3,0,999,7,65.8208,98.4432,675373,203.2116,274.0662,12.3066672,96602,5,7020.58474450337,7923.965689888309
2162,10438, U, 76067P,20121.9862239,5.76e-06, +00000-0, +36492-2,0,999,1,65.9358,5.8737,650575,164.8207,297.0218,12.09144821,93304,0,7145.546050351896,8017.7161578824
2163,10439, U, 76067Q,20122.12526806,-8.4e-07, +00000-0, -13035-3,0,999,9,65.7885,342.6557,668690,333.5187,101.6171,12.24751066,95887,3,7054.494778451575,7949.460821648401
2164,10440, U, 76067R,20122.26187307,-9.4e-07, +00000-0, -11387-3,0,999,4,65.6482,52.1061,716547,167.1687,356.9258,12.39829841,98064,5,6968.698215096438,7884.8753858118625
2165,10441, U, 76067S,20121.96469025,2.55e-06, +00000-0, +18265-2,0,999,9,65.7339,320.672,619524,238.9239,278.2854,12.11819089,93901,6,7129.777108173612,8005.916038012471
2166,10442, U, 76067T,20121.96697552,-1.52e-06, +00000-0, -50495-3,0,999,8,66.0081,312.6869,661982,265.2995,254.6107,12.16648991,94698,7,7101.473032824799,7984.713856406946
2167,10443, U, 76067U,20122.24459378,-1e-06, +00000-0, -11543-3,0,999,7,65.8106,210.1912,722388,38.0298,354.4661,12.46767804,99114,4,6929.91908539852,7855.5965652363475
2168,10444, U, 76067V,20121.92985004,-1.26e-06, 00000-0, -15934-3,0,999,8,65.7962,244.0066,743291,15.4054,346.8297,12.51187873,99923,1,6905.437773532512,7837.0846877598915
2169,10445, U, 76067W,20122.11513608,1.2e-07, 00000-0, 35925-3,0,999,2,65.9606,1.9492,648239,111.1502,39.9392,12.09164654,93409,4,7145.428847442972,8017.62848534542
2170,10446, U, 76067X,20122.26697637,-4.9e-07, +00000-0, +16159-4,0,999,4,65.8802,176.4986,640634,201.5041,228.5225,12.16776378,94710,8,7100.729563965944,7984.15655515797
2171,10447, U, 76067Y,20122.19678692,-1.3e-07, +00000-0, +13843-3,0,999,4,65.8635,71.7715,707123,21.2554,70.8154,12.36833551,97748,5,6985.580228652771,7897.604581570856
2172,10448, U, 76067Z,20122.16162962,-7.1e-07, 00000-0, -50509-4,0,999,6,66.1706,29.9952,750701,352.1147,160.7198,12.37094645,97796,5,6984.105892722542,7896.4933274892865
2173,10449, U, 76067AA,20122.19279009,-9.7e-07, +00000-0, -98286-4,0,999,3,66.0327,68.0314,762046,222.5963,131.3472,12.45483785,99166,9,6937.063415883813,7860.994736894511
2174,10450, U, 76067AB,20122.20927749,-3.2e-07, +00000-0, +62890-4,0,999,8,65.7461,18.6287,752727,186.4909,172.5891,12.46760009,99361,6,6929.962412677933,7855.62930840583
2175,10451, U, 76067AC,20122.19170436,-1.5e-07, +00000-0, +10068-3,0,999,0,65.8531,189.5619,778943,274.8097,76.4467,12.45802215,99212,2,6935.290286026662,7859.655153894709
2176,10452, U, 76067AD,20122.25990462,1.13e-06, +00000-0, +11141-2,0,999,7,65.848,64.5546,591542,49.79,97.5126,12.05911252,92969,3,7164.706346068659,8032.042400529228
2177,10453, U, 76067AE,20122.23800103,9.2e-07, +00000-0, +43942-3,0,999,9,65.8131,56.2811,711885,97.6744,44.9035,12.42232986,98557,7,6955.217014338725,7874.7030516585455
2178,10454, U, 76067AF,20122.48267431,-2.09e-06, 00000-0, -33014-3,0,999,9,65.6644,357.9874,741026,331.7036,24.5505,12.54305186,165,1,6888.275753330099,7824.0943475094255
2179,10455, U, 77105A,20121.96836581,-9.93e-06, 00000-0, 54177-4,0,999,7,62.3163,117.5811,7248902,276.0967,13.1069,2.00742362,31146,2,43040.24279638595,26542.60459616656
2180,10457, U, 77106A,20122.20849781,3.4e-07, +00000-0, +38686-4,0,999,6,89.7217,145.5679,25230,352.2189,51.6188,13.4862148,9090,6,6406.5418860153395,7454.917511167845
2181,10459, U, 77107A,20122.17409255,2e-07, +00000-0, +48364-5,0,999,3,82.9523,354.9695,27410,232.5865,278.7882,13.74688375,13189,2,6285.060786958355,7360.3768491186975
2182,10461, U, 77107B,20122.10109435,8.8e-07, +00000-0, +73194-4,0,999,8,82.9462,314.6939,34690,92.8864,25.3436,13.76822108,13483,9,6275.320500591497,7352.7703770952885
2183,10462, U, 77106B,20122.11577639,4.8e-07, +00000-0, +61500-4,0,999,8,89.7211,145.5264,25602,17.6533,41.9565,13.48145778,51529,0,6408.802475958947,7456.671085449157
2184,10463, U, 76067AG,20121.91146082,-2.6e-07, +00000-0, +10570-3,0,999,2,65.8209,295.1203,691844,160.1798,350.9776,12.32333891,97064,0,7011.0869003114985,7916.817418158875
2185,10464, U, 76067AH,20122.0047125,-6.2e-07, +00000-0, -14077-4,0,999,0,65.8313,324.6756,715723,23.1361,125.0753,12.45961204,98829,0,6934.405318771065,7858.986526714192
